"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"D66","D66",-2.81088814601717,0,0,15,-2.81088814601717,0.3,"#80808026"
"D66","ChristenUnie",0.938096195109617,630,0.76271186440678,826,0.938096195109617,1.96904809755481,"#80808026"
"BBB","D66",0.00977626302107873,474,0.531390134529148,892,0.00977626302107873,1.50488813151054,"#80808026"
"NSC","ChristenUnie",1.06306233981384,651,0.739772727272727,880,1.06306233981384,2.03153116990692,"#4D4D4DCC"
"BBB","NSC",1.03925926463209,647,0.728603603603604,888,1.03925926463209,2.01962963231604,"#4D4D4DCC"
"CDA","ChristenUnie",1.01545618945033,643,0.785103785103785,819,1.01545618945033,2.00772809472516,"#4D4D4DCC"
"BBB","CDA",0.64055775533765,580,0.703883495145631,824,0.64055775533765,1.82027887766882,"#80808026"
"VVD","ChristenUnie",0.0930870261572296,488,0.613836477987421,795,0.0930870261572296,1.54654351307861,"#80808026"
"VVD","BBB",1.17017617813175,669,0.791715976331361,845,1.17017617813175,2.08508808906588,"#4D4D4DCC"
"SGP","ChristenUnie",0.765523900041876,601,0.742892459826947,809,0.765523900041876,1.88276195002094,"#80808026"
"SGP","BBB",1.04521003342752,648,0.765957446808511,846,1.04521003342752,2.02260501671376,"#4D4D4DCC"
"PvdD","ChristenUnie",0.491788535451666,555,0.657582938388626,844,0.491788535451666,1.74589426772583,"#80808026"
"PvdD","BBB",-0.918543669067459,318,0.391625615763547,812,-0.918543669067459,1.04072816546627,"#80808026"
"BBB","ChristenUnie",0.438231616292712,546,0.641598119858989,851,0.438231616292712,1.71911580814636,"#80808026"
"Volt","CDA",0.438231616292712,546,0.690265486725664,791,0.438231616292712,1.71911580814636,"#80808026"
"Volt","SP",0.777425437632754,603,0.809395973154362,745,0.777425437632754,1.88871271881638,"#80808026"
"Volt","VVD",-0.400826783864236,405,0.536423841059603,755,-0.400826783864236,1.29958660806788,"#80808026"
"FVD","VVD",-0.0675837313196328,461,0.563569682151589,818,-0.0675837313196328,1.46620813434018,"#80808026"
"Volt","NSC",0.277560858815849,519,0.650375939849624,798,0.277560858815849,1.63878042940792,"#80808026"
"GroenLinks-PvdA","Volt",1.22968386608614,679,0.873873873873874,777,1.22968386608614,2.11484193304307,"#4D4D4DCC"
"SGP","Volt",-0.156845263251223,446,0.59387483355526,751,-0.156845263251223,1.42157736837439,"#80808026"
"Volt","PVV",-0.793577524363233,339,0.419035846724351,809,-0.793577524363233,1.10321123781838,"#80808026"
"Volt","BBB",-0.293712945546328,423,0.537484116899619,787,-0.293712945546328,1.35314352722684,"#80808026"
"BBB","DENK",-0.388925246273357,407,0.491545893719807,828,-0.388925246273357,1.30553737686332,"#80808026"
"FVD","BBB",0.467985460269908,551,0.658303464755078,837,0.467985460269908,1.73399273013495,"#80808026"
"Volt","D66",1.19397925331351,673,0.869509043927649,774,1.19397925331351,2.09698962665675,"#4D4D4DCC"
"DENK","D66",0.81908081920083,610,0.74299634591961,821,0.81908081920083,1.90954040960042,"#80808026"
"PvdD","Volt",0.914293119927859,626,0.807741935483871,775,0.914293119927859,1.95714655996393,"#80808026"
"Volt","ChristenUnie",0.884539275950663,621,0.772388059701492,804,0.884539275950663,1.94226963797533,"#80808026"
"Volt","DENK",0.825031587996269,611,0.790426908150065,773,0.825031587996269,1.91251579399813,"#80808026"
"FVD","Volt",-0.948297513044656,313,0.394703656998739,793,-0.948297513044656,1.02585124347767,"#80808026"
"DENK","ChristenUnie",0.509640841837984,558,0.70188679245283,795,0.509640841837984,1.75482042091899,"#80808026"
"FVD","ChristenUnie",-0.412728321455115,403,0.5,806,-0.412728321455115,1.29363583927244,"#80808026"
"DENK","SP",1.12257002776824,661,0.824189526184539,802,1.12257002776824,2.06128501388412,"#4D4D4DCC"
"Volt","JA21",-0.579349847727417,375,0.508130081300813,738,-0.579349847727417,1.21032507613629,"#80808026"
"JA21","CDA",0.164496251702502,500,0.661375661375661,756,0.164496251702502,1.58224812585125,"#80808026"
"JA21","DENK",-0.662660610863567,361,0.476882430647292,757,-0.662660610863567,1.16866969456822,"#80808026"
"BBB","BBB",-2.81088814601717,0,0,8,-2.81088814601717,0.3,"#80808026"
"PVV","PVV",-2.81088814601717,0,0,41,-2.81088814601717,0.3,"#80808026"
"SGP","JA21",0.557246992201499,566,0.729381443298969,776,0.557246992201499,1.77862349610075,"#80808026"
"JA21","SP",-0.841183674726748,331,0.451568894952251,733,-0.841183674726748,1.07940816263663,"#80808026"
"JA21","NSC",0.265659321224971,517,0.667958656330749,774,0.265659321224971,1.63282966061249,"#80808026"
"JA21","PVV",0.378723928338318,536,0.703412073490814,762,0.378723928338318,1.68936196416916,"#80808026"
"GroenLinks-PvdA","JA21",-0.698365223636203,355,0.464052287581699,765,-0.698365223636203,1.1508173881819,"#80808026"
"JA21","D66",-0.382974477477918,408,0.540397350993377,755,-0.382974477477918,1.30851276126104,"#80808026"
"VVD","JA21",0.289462396406728,521,0.715659340659341,728,0.289462396406728,1.64473119820336,"#80808026"
"FVD","JA21",0.253757783634092,515,0.679419525065963,758,0.253757783634092,1.62687889181705,"#80808026"
"JA21","BBB",0.581050067383256,570,0.75098814229249,759,0.581050067383256,1.79052503369163,"#80808026"
"PvdD","JA21",-0.954248281840095,312,0.40625,768,-0.954248281840095,1.02287585907995,"#80808026"
"JA21","ChristenUnie",-0.0259283497515573,468,0.610169491525424,767,-0.0259283497515573,1.48703582512422,"#80808026"
"GroenLinks-PvdA","GroenLinks-PvdA",-2.81088814601717,0,0,24,-2.81088814601717,0.3,"#80808026"
"NSC","NSC",-2.81088814601717,0,0,24,-2.81088814601717,0.3,"#80808026"
"VVD","VVD",-2.81088814601717,0,0,15,-2.81088814601717,0.3,"#80808026"
"PvdD","PvdD",-2.81088814601717,0,0,7,-2.81088814601717,0.3,"#80808026"
