"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"SP","BBB",-0.951904941000383,17,0.485714285714286,35,0.869481765834933,"#80808014"
"SP","PVV",-0.951904941000383,17,0.425,40,0.869481765834933,"#80808014"
"FVD","BBB",-0.157600155794765,23,0.676470588235294,34,0.5,"#80808014"
"D66","BBB",-0.81952081013278,18,0.545454545454545,33,0.748560460652591,"#80808014"
"BBB","PVV",0.636704629410852,29,0.805555555555556,36,0.581573896353167,"#80808014"
"GroenLinks-PvdA","FVD",-2.40813038054402,6,0.171428571428571,35,2.19961612284069,"#80808014"
"GroenLinks-PvdA","JA21",-0.951904941000383,17,0.515151515151515,33,0.869481765834933,"#80808014"
"GroenLinks-PvdA","Volt",0.504320498543249,28,0.666666666666667,42,0.5,"#80808014"
"GroenLinks-PvdA","BBB",-0.951904941000383,17,0.45945945945946,37,0.869481765834933,"#80808014"
"BBB","NSC",0.901472891146058,31,0.81578947368421,38,0.82341650671785,"#80808014"
"VVD","BBB",0.901472891146058,31,0.885714285714286,35,0.82341650671785,"#80808014"
"PvdD","BBB",-1.21667320273559,15,0.394736842105263,38,1.11132437619962,"#80808014"
"BBB","Volt",-0.554752548397574,20,0.48780487804878,41,0.506717850287908,"#80808014"
"GroenLinks-PvdA","NSC",0.371936367675646,27,0.58695652173913,46,0.5,"#80808014"
"GroenLinks-PvdA","SGP",-0.289984286662368,22,0.468085106382979,47,0.5,"#80808014"
"GroenLinks-PvdA","PVV",-0.422368417529971,21,0.538461538461538,39,0.5,"#80808014"
"GroenLinks-PvdA","VVD",-0.554752548397574,20,0.384615384615385,52,0.506717850287908,"#80808014"
"NSC","SGP",1.16624115288126,33,0.825,40,1.06525911708253,"#808080D9"
"SP","NSC",-0.0252160249271624,24,0.558139534883721,43,0.5,"#80808014"
"PvdD","NSC",-0.289984286662368,22,0.458333333333333,48,0.5,"#80808014"
"VVD","SGP",1.03385702201366,32,0.64,50,0.944337811900192,"#808080D9"
"PvdD","SGP",-0.81952081013278,18,0.418604651162791,43,0.748560460652591,"#80808014"
"Volt","SGP",-0.422368417529971,21,0.477272727272727,44,0.5,"#80808014"
"PvdD","FVD",-2.27574624967641,7,0.184210526315789,38,2.07869481765835,"#80808014"
"VVD","SP",-0.951904941000383,17,0.414634146341463,41,0.869481765834933,"#80808014"
"SP","Volt",0.636704629410852,29,0.90625,32,0.581573896353167,"#80808014"
"PvdD","PVV",-0.81952081013278,18,0.409090909090909,44,0.748560460652591,"#80808014"
"VVD","PvdD",-1.08428907186799,16,0.363636363636364,44,0.990403071017274,"#80808014"
"PvdD","Volt",1.43100941461647,35,0.833333333333333,42,1.30710172744722,"#808080D9"
"VVD","ChristenUnie",1.03385702201366,32,0.727272727272727,44,0.944337811900192,"#808080D9"
"ChristenUnie","NSC",0.636704629410852,29,0.743589743589744,39,0.581573896353167,"#80808014"
"ChristenUnie","Volt",0.504320498543249,28,0.777777777777778,36,0.5,"#80808014"
"JA21","PvdD",-1.746209726206,11,0.323529411764706,34,1.59500959692898,"#80808014"
