"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"GroenLinks","BIJ1",0.394230141859373,1217,0.691870380898238,1759,0.394230141859373,1.69711507092969,"#80808026"
"BIJ1","Groep Van Haga",-1.87583454299705,677,0.387521465369204,1747,-1.87583454299705,0.562082728501477,"#80808026"
"JA21","BIJ1",-1.89685366044942,672,0.384659416141958,1747,-1.89685366044942,0.55157316977529,"#80808026"
"BIJ1","Omtzigt",-0.955197198583054,896,0.514056224899598,1743,-0.955197198583054,1.02240140070847,"#80808026"
"PVV","BIJ1",-1.60678983960666,741,0.421262080727686,1759,-1.60678983960666,0.696605080196672,"#80808026"
"PvdA","BIJ1",0.390026318368898,1216,0.693667997718197,1753,0.390026318368898,1.69501315918445,"#80808026"
"PvdD","BIJ1",0.549771611006943,1254,0.717391304347826,1748,0.549771611006943,1.77488580550347,"#80808026"
"BIJ1","SGP",-1.21163043150202,835,0.476870359794403,1751,-1.21163043150202,0.89418478424899,"#80808026"
"BIJ1","SP",0.318561319030826,1199,0.682413204325555,1757,0.318561319030826,1.65928065951541,"#80808026"
"BIJ1","VVD",-1.68666248592568,722,0.410460488914156,1759,-1.68666248592568,0.656668757037161,"#80808026"
"Volt","BIJ1",0.423656906292697,1224,0.701432664756447,1745,0.423656906292697,1.71182845314635,"#80808026"
"CDA","ChristenUnie",2.03372130314457,1607,0.904333145751266,1777,2.03372130314457,2.51686065157228,"#4D4D4DCC"
"CDA","D66",1.70161924739705,1528,0.852678571428571,1792,1.70161924739705,2.35080962369853,"#4D4D4DCC"
"DENK","CDA",-0.143859264921408,1089,0.61283061339336,1777,-0.143859264921408,1.4280703675393,"#80808026"
"CDA","FVD",-1.11073866773062,859,0.483671171171171,1776,-1.11073866773062,0.944630666134688,"#80808026"
"Fractie Den Haan","CDA",0.0411089686594858,1133,0.642290249433107,1764,0.0411089686594858,1.52055448432974,"#80808026"
"CDA","G<U+00FC>ndogan",0.0116822042261618,1126,0.638684061259217,1763,0.0116822042261618,1.50584110211308,"#80808026"
"CDA","GroenLinks",-0.07659808907381,1105,0.616629464285714,1792,-0.07659808907381,1.4617009554631,"#80808026"
"CDA","Groep Van Haga",-0.530611026045094,997,0.562641083521445,1772,-0.530611026045094,1.23469448697745,"#80808026"
"CDA","JA21",-0.181693676335681,1080,0.610859728506787,1768,-0.181693676335681,1.40915316183216,"#80808026"
"CDA","Omtzigt",-0.324623675011826,1046,0.593643586833144,1762,-0.324623675011826,1.33768816249409,"#80808026"
"CDA","PVV",-0.841693964340233,923,0.515066964285714,1792,-0.841693964340233,1.07915301782988,"#80808026"
"CDA","PvdA",-0.0934133830357095,1101,0.617845117845118,1782,-0.0934133830357095,1.45329330848215,"#80808026"
"PvdD","CDA",-0.686152495192664,960,0.539629005059022,1779,-0.686152495192664,1.15692375240367,"#80808026"
"CDA","SGP",0.823020137887808,1319,0.741844769403824,1778,0.823020137887808,1.9115100689439,"#80808026"
"CDA","SP",-0.618891319345066,976,0.545556176634992,1789,-0.618891319345066,1.19055434032747,"#80808026"
"CDA","VVD",2.14302071389691,1633,0.911272321428571,1792,2.14302071389691,2.57151035694846,"#4D4D4DCC"
"CDA","Volt",-0.0345598541690615,1115,0.632086167800454,1764,-0.0345598541690615,1.48272007291547,"#80808026"
