"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"Omtzigt","DENK",0.27792589813948,661,0.602552415679125,1097,0.5,"#80808014"
"DENK","PvdA",1.12891873831452,851,0.775045537340619,1098,1.26247448131795,"#808080D9"
"FVD","DENK",-0.116218154152115,573,0.520435967302452,1101,0.5,"#80808014"
"DENK","Ephraim",-2.08245950592496,134,0.122040072859745,1098,2.32882305464559,"#80808014"
"DENK","GroenLinks",1.13339764799965,852,0.773841961852861,1101,1.26748326449224,"#808080D9"
"DENK","Fractie Den Haan",0.649675402005417,744,0.67697907188353,1099,0.726534681669279,"#80808014"
"BBB","Groep Van Haga",1.20953911264689,869,0.785714285714286,1106,1.35263257845511,"#808080D9"
"Groep Van Haga","SP",-0.362558186834362,518,0.469202898550725,1104,0.5,"#80808014"
"BIJ1","Groep Van Haga",-0.60889821951661,463,0.422060164083865,1097,0.680933390305274,"#80808014"
"SGP","Groep Van Haga",0.698943408541866,755,0.683257918552036,1105,0.781631296586432,"#80808014"
"Groep Van Haga","PVV",1.20058129327662,867,0.784615384615385,1105,1.34261501210654,"#808080D9"
"PvdD","Groep Van Haga",-0.599940400146346,465,0.420814479638009,1105,0.670915823956701,"#80808014"
"JA21","Groep Van Haga",1.37077986131163,905,0.821980018165304,1101,1.53294877272943,"#808080D9"
"Volt","Groep Van Haga",-0.595461490461214,466,0.423251589464124,1101,0.665907040782414,"#80808014"
"VVD","Groep Van Haga",0.304799356250271,667,0.603074141048825,1106,0.5,"#80808014"
"Omtzigt","Groep Van Haga",0.0808538719936824,617,0.560399636693915,1101,0.5,"#80808014"
"PvdA","Groep Van Haga",-0.649208406682795,454,0.411978221415608,1102,0.726012438873854,"#80808014"
"FVD","Groep Van Haga",1.51410497123585,937,0.847197106690778,1106,1.6932298343066,"#808080D9"
"Ephraim","Groep Van Haga",-1.66144199552257,228,0.206896551724138,1102,1.85799743626264,"#80808014"
"Groep Van Haga","GroenLinks",-0.640250587312532,456,0.412669683257919,1105,0.715994872525281,"#80808014"
"Fractie Den Haan","Groep Van Haga",-0.68503968416385,446,0.404351767905712,1103,0.766082704268148,"#80808014"
"BBB","SP",-0.0579923282454023,586,0.532243415077203,1101,0.5,"#80808014"
"BIJ1","BBB",-0.349121457778967,521,0.475799086757991,1095,0.5,"#80808014"
"BBB","SGP",1.10652418988886,846,0.767695099818512,1102,1.23743056544652,"#808080D9"
"BBB","PVV",0.990072538075431,820,0.743427017225748,1103,1.10720220291507,"#80808014"
"PvdD","BBB",-0.317769089983045,528,0.479128856624319,1102,0.5,"#80808014"
"JA21","BBB",1.14683437705504,855,0.777979981801638,1099,1.2825096140151,"#808080D9"
"Volt","BBB",-0.120697063837247,572,0.520473157415833,1099,0.5,"#80808014"
"BBB","VVD",0.55561829861765,723,0.654891304347826,1104,0.621350235009259,"#80808014"
"Omtzigt","BBB",0.443645556489355,698,0.635122838944495,1099,0.5,"#80808014"
"PvdA","BBB",-0.201317438169619,554,0.503636363636364,1100,0.5,"#80808014"
"FVD","BBB",0.86018415720661,791,0.71713508612874,1103,0.961947490860752,"#80808014"
"Ephraim","BBB",-1.70623109237389,218,0.198181818181818,1100,1.90808526800551,"#80808014"
"BBB","GroenLinks",-0.196838528484487,555,0.503173164097915,1103,0.5,"#80808014"
"Fractie Den Haan","BBB",-0.290895631872254,534,0.485013623978202,1101,0.5,"#80808014"
"BIJ1","SP",1.31255403540492,892,0.815356489945155,1094,1.4678345914637,"#808080D9"
"SGP","SP",0.148037517270659,632,0.573502722323049,1102,0.5,"#80808014"
"PVV","SP",-0.00424541202382115,598,0.54314259763851,1101,0.5,"#80808014"
"PvdD","SP",1.50962606155072,936,0.850136239782016,1101,1.68822105113232,"#808080D9"
"JA21","SP",-0.425262922426207,504,0.459016393442623,1098,0.5,"#80808014"
"Volt","SP",1.35734313225624,902,0.821493624772313,1098,1.51792242320657,"#808080D9"
"VVD","SP",-0.362558186834362,518,0.47005444646098,1102,0.5,"#80808014"
