"from","to","weight","agreements","total_votes","width","color"
"Fractie Den Haan","VVD",0.550096961861668,851,1547,1.65456902138691,"#80808014"
"Volt","Fractie Den Haan",0.74124513618677,1143,1542,2.22950011473934,"#808080D9"
"G<U+00FC>ndogan","GroenLinks",0.521373056994819,805,1544,1.56817391932142,"#80808014"
"G<U+00FC>ndogan","Groep Van Haga",0.286084142394822,442,1545,0.860477320061159,"#80808014"
"G<U+00FC>ndogan","JA21",0.315379623621025,486,1541,0.948591596387024,"#80808014"
"Omtzigt","G<U+00FC>ndogan",0.422452952628164,651,1541,1.2706442988641,"#80808014"
"G<U+00FC>ndogan","PVV",0.279325988334413,431,1543,0.840150299325997,"#80808014"
"G<U+00FC>ndogan","PvdA",0.520414776409592,803,1543,1.56529162496236,"#80808014"
"G<U+00FC>ndogan","PvdD",0.487345879299156,751,1541,1.46582775491081,"#80808014"
"G<U+00FC>ndogan","SGP",0.42940414507772,663,1544,1.29155193603739,"#80808014"
"G<U+00FC>ndogan","SP",0.467616580310881,722,1544,1.40648642204977,"#80808014"
"G<U+00FC>ndogan","VVD",0.429126213592233,663,1545,1.29071598009174,"#80808014"
"G<U+00FC>ndogan","Volt",0.536363636363636,826,1540,1.61326224002828,"#80808014"
"GroenLinks","Groep Van Haga",0.426081342801808,660,1549,1.2815576875847,"#80808014"
"JA21","GroenLinks",0.429034348671419,662,1543,1.29043967089051,"#80808014"
"Omtzigt","GroenLinks",0.648736228127025,1001,1543,1.95125394344622,"#80808014"
"GroenLinks","PVV",0.482558139534884,747,1548,1.45142730108969,"#80808014"
"PvdA","GroenLinks",0.997414350355527,1543,1547,3,"#808080D9"
"PvdD","GroenLinks",0.897153945666235,1387,1546,2.69843905498185,"#808080D9"
"GroenLinks","SGP",0.595607235142119,922,1548,1.79145377724859,"#80808014"
"SP","GroenLinks",0.850678733031674,1316,1547,2.55865197666883,"#808080D9"
"GroenLinks","VVD",0.538709677419355,835,1550,1.62031860849205,"#80808014"
"Volt","GroenLinks",0.914396887159533,1410,1542,2.75030197881231,"#808080D9"
"JA21","Groep Van Haga",0.818652849740933,1264,1544,2.462325259655,"#808080D9"
"Omtzigt","Groep Van Haga",0.582901554404145,900,1544,1.75323792222271,"#80808014"
"Groep Van Haga","PVV",0.786821705426357,1218,1548,2.36658427406592,"#808080D9"
"PvdA","Groep Van Haga",0.425614489003881,658,1546,1.280153495442,"#80808014"
"PvdD","Groep Van Haga",0.429217840982547,664,1547,1.29099157485418,"#80808014"
"SGP","Groep Van Haga",0.67979341510652,1053,1549,2.04466703791922,"#80808014"
"SP","Groep Van Haga",0.479974160206718,743,1548,1.44365526734892,"#80808014"
"VVD","Groep Van Haga",0.6,930,1550,1.80466623460791,"#80808014"
"Volt","Groep Van Haga",0.436163318211277,673,1543,1.31188202191739,"#80808014"
"Omtzigt","JA21",0.611038961038961,941,1540,1.83786896836152,"#80808014"
"JA21","PVV",0.754863813229572,1164,1542,2.27046205910463,"#808080D9"
"JA21","PvdA",0.429312581063554,662,1542,1.29127653189628,"#80808014"
"JA21","PvdD",0.407142857142857,627,1540,1.22459494491251,"#80808014"
"JA21","SGP",0.701879455605962,1083,1543,2.11109692382843,"#80808014"
"JA21","SP",0.471160077770577,727,1543,1.41714447241299,"#80808014"
"JA21","VVD",0.639248704663212,987,1544,1.92271758803757,"#80808014"
"JA21","Volt",0.451591942820013,695,1539,1.3582878850471,"#80808014"
"Omtzigt","PVV",0.590791180285344,911,1542,1.77696815794185,"#80808014"
"Omtzigt","PvdA",0.649156939040208,1001,1542,1.95251934807881,"#80808014"
"Omtzigt","PvdD",0.614285714285714,946,1540,1.84763447828905,"#80808014"
"Omtzigt","SGP",0.729747245625405,1126,1543,2.19491702329715,"#80808014"
"Omtzigt","SP",0.637718729747246,984,1543,1.9181157645865,"#80808014"
"Omtzigt","VVD",0.647668393782383,1000,1544,1.94804213580301,"#80808014"
"Omtzigt","Volt",0.672514619883041,1035,1539,2.02277404463849,"#80808014"
"PvdA","PVV",0.481553398058252,744,1545,1.44840526272738,"#80808014"
"PvdD","PVV",0.471844660194175,729,1545,1.41920354372078,"#80808014"
"SGP","PVV",0.645765998707175,999,1547,1.94232015554115,"#80808014"
"SP","PVV",0.542690815006468,839,1546,1.63229298279003,"#80808014"
