"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"Omtzigt","BIJ1",-0.0136546734495171,858,0.55859375,1536,-0.0136546734495171,1.49317266327524,"#80808026"
"BIJ1","PVV",-0.547289108931761,692,0.449934980494148,1538,-0.547289108931761,1.22635544553412,"#80808026"
"PvdA","BIJ1",1.11469283772077,1209,0.786085825747724,1538,1.11469283772077,2.05734641886039,"#4D4D4DCC"
"PvdD","BIJ1",1.20148880011848,1236,0.8046875,1536,1.20148880011848,2.10074440005924,"#4D4D4DCC"
"BIJ1","SGP",-0.254754568998724,783,0.508771929824561,1539,-0.254754568998724,1.37262271550064,"#80808026"
"SP","BIJ1",1.10826350717279,1207,0.784275503573749,1539,1.10826350717279,2.0541317535864,"#4D4D4DCC"
"BIJ1","VVD",-0.634085071329476,665,0.431818181818182,1540,-0.634085071329476,1.18295746433526,"#80808026"
"Volt","BIJ1",1.06325819333694,1193,0.777198697068404,1535,1.06325819333694,2.03162909666847,"#4D4D4DCC"
"CDA","ChristenUnie",1.34293407217402,1280,0.827943078913325,1546,1.34293407217402,2.17146703608701,"#4D4D4DCC"
"D66","CDA",1.15326882100864,1221,0.785714285714286,1554,1.15326882100864,2.07663441050432,"#4D4D4DCC"
"CDA","DENK",0.182439908263838,919,0.594822006472492,1545,0.182439908263838,1.59121995413192,"#80808026"
"CDA","Ephraim",-2.26392036524211,158,0.143636363636364,1100,-2.26392036524211,0.368039817378943,"#80808026"
"CDA","FVD",-0.203319924614893,799,0.516483516483517,1547,-0.203319924614893,1.39834003769255,"#80808026"
"CDA","Fractie Den Haan",0.124575933332028,901,0.582794307891332,1546,0.124575933332028,1.56228796666601,"#80808026"
"CDA","G<U+00FC>ndogan",-0.49906912982192,707,0.457901554404145,1544,-0.49906912982192,1.25046543508904,"#80808026"
"CDA","GroenLinks",0.192083904085806,922,0.595607235142119,1548,0.192083904085806,1.5960419520429,"#80808026"
"CDA","Groep Van Haga",0.0924292805921339,891,0.575581395348837,1548,0.0924292805921339,1.54621464029607,"#80808026"
"CDA","JA21",0.317455849771394,961,0.622812702527544,1543,0.317455849771394,1.6587279248857,"#80808026"
"Omtzigt","CDA",0.654995703540283,1066,0.690861957226183,1543,0.654995703540283,1.82749785177014,"#80808026"
"CDA","PVV",-0.0297279998194642,853,0.551389786683904,1547,-0.0297279998194642,1.48513600009027,"#80808026"
"CDA","PvdA",0.188869238811817,921,0.595730918499353,1546,0.188869238811817,1.59443461940591,"#80808026"
"CDA","PvdD",-0.119738627491168,825,0.533980582524272,1545,-0.119738627491168,1.44013068625442,"#80808026"
"CDA","SGP",0.970032900391246,1164,0.752424046541694,1547,0.970032900391246,1.98501645019562,"#80808026"
"CDA","SP",-0.0650893178333479,842,0.544279250161603,1547,-0.0650893178333479,1.46745534108333,"#80808026"
"CDA","VVD",1.49723800532551,1328,0.857327307940607,1549,1.49723800532551,2.24861900266276,"#4D4D4DCC"
"CDA","Volt",0.323885180319372,963,0.624513618677043,1542,0.323885180319372,1.66194259015969,"#80808026"
"D66","ChristenUnie",1.4393740303937,1310,0.844072164948454,1552,1.4393740303937,2.21968701519685,"#4D4D4DCC"
"ChristenUnie","DENK",0.507121100936769,1020,0.661049902786779,1543,0.507121100936769,1.75356055046838,"#80808026"
"ChristenUnie","Ephraim",-2.33142833599589,137,0.124772313296903,1098,-2.33142833599589,0.334285832002054,"#80808026"
"FVD","ChristenUnie",-0.595509088041603,677,0.437904269081501,1546,-0.595509088041603,1.2022454559792,"#80808026"
"ChristenUnie","Fractie Den Haan",0.442827795456981,1000,0.647249190938511,1545,0.442827795456981,1.72141389772849,"#80808026"
"ChristenUnie","G<U+00FC>ndogan",-0.238681242628777,788,0.510693454309786,1543,-0.238681242628777,1.38065937868561,"#80808026"
"ChristenUnie","GroenLinks",0.767508988129913,1101,0.71216041397154,1546,0.767508988129913,1.88375449406496,"#80808026"
"ChristenUnie","Groep Van Haga",-0.257969234272713,782,0.505821474773609,1546,-0.257969234272713,1.37101538286364,"#80808026"
"ChristenUnie","JA21",-0.058659987285369,844,0.547341115434501,1542,-0.058659987285369,1.47067000635732,"#80808026"
"Omtzigt","ChristenUnie",0.764294322855923,1100,0.713359273670558,1542,0.764294322855923,1.88214716142796,"#80808026"
"ChristenUnie","PVV",-0.22260791625883,793,0.51326860841424,1545,-0.22260791625883,1.38869604187059,"#80808026"
