"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"GroenLinks-PvdA",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"JA21",1e-06,0.751642297096843,0.478626489138052,1e-06,0.619581306830197,0.577923451046733,0.524212307041658,0.57623176147177,0.740960033833791,0.490589976739268,1e-06,0,1e-06,0.705311778290993,0.490589976739268,0.48043983928949,0.758350951374207,0.721505603721717,0.539860435610066,0.505392260520195,0.6274053711144
"NSC",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"Omtzigt",1e-06,0.781350482315113,0.671052631578947,1e-06,0.724098322995635,0.73994946014243,0.687801516195727,0.74500344589938,0.582624683980694,0.716747070985527,1e-06,0.705311778290993,1e-06,0,0.717436250861475,0.684585343441305,0.64951768488746,0.808178267861245,0.711922811853894,0.728692855501953,0.692855501952676
"PvdA",1,0.645719105862505,0.843443770415306,1e-06,0.620689655172414,0.69322960470984,0.730656013456686,0.835086243163652,0.406355218855219,0.995794785534062,1e-06,0.490589976739268,1e-06,0.717436250861475,0,0.871740958788898,0.500525541307547,0.624264087468461,0.83515559293524,0.928872053872054,0.585576114381833
"PvdD",1,0.634964150147617,0.870975268315446,1e-06,0.538687973086627,0.613330529857023,0.638982338099243,0.807530500631048,0.445286195286195,0.871740958788898,1e-06,0.48043983928949,1e-06,0.684585343441305,0.871740958788898,0,0.512297666596594,0.580950378469302,0.86417157275021,0.847011784511784,0.503153910849453
"PVV",1,0.722175379426644,0.513412642873805,1e-06,0.527433256253942,0.502522068095839,0.457851587134749,0.589484752891693,0.774458236903009,0.501261034047919,1e-06,0.758350951374207,1e-06,0.64951768488746,0.500525541307547,0.512297666596594,0,0.6449442926214,0.57326045827202,0.494214180517568,0.530586504099222
"SGP",0.5,0.762758329818642,0.566262249183388,1e-06,0.757989907485282,0.749369217830109,0.681244743481918,0.652713504417333,0.597853535353535,0.624684608915055,1e-06,0.721505603721717,1e-06,0.808178267861245,0.624264087468461,0.580950378469302,0.6449442926214,0,0.616274179983179,0.640151515151515,0.735912531539109
"SP",1,0.686840995360607,0.841110592627158,1e-06,0.552144659377628,0.622582001682086,0.62636669470143,0.822675641564998,0.497895622895623,0.83515559293524,1e-06,0.539860435610066,1e-06,0.711922811853894,0.83515559293524,0.86417157275021,0.57326045827202,0.616274179983179,0,0.813341750841751,0.522918418839361
"Volt",1e-06,0.650780261493041,0.842277181521232,1e-06,0.637626262626263,0.706649831649832,0.744949494949495,0.828493265993266,0.410315789473684,0.928451178451178,1e-06,0.505392260520195,1e-06,0.728692855501953,0.928872053872054,0.847011784511784,0.494214180517568,0.640151515151515,0.813341750841751,0,0.603956228956229
"VVD",0.5,0.604597216364403,0.49953336444237,1e-06,0.905172413793103,0.850294365012616,0.830529857022708,0.586663862010938,0.496422558922559,0.58515559293524,1e-06,0.6274053711144,1e-06,0.692855501952676,0.585576114381833,0.503153910849453,0.530586504099222,0.735912531539109,0.522918418839361,0.603956228956229,0
